format: x; U(x)
Final data for time t=0
0; 1
0.00833333; 1
0.0166667; 1
0.025; 1
0.0333333; 1
0.0416667; 1
0.05; 1
0.0583333; 1
0.0666667; 1
0.075; 1
0.0833333; 1
0.0916667; 1
0.1; 1
0.108333; 1
0.116667; 1
0.125; 1
0.133333; 1
0.141667; 1
0.15; 1
0.158333; 1
0.166667; 1
0.175; 1
0.183333; 1
0.191667; 1
0.2; 1
0.208333; 1
0.216667; 1
0.225; 1
0.233333; 1
0.241667; 1
0.25; 1
0.258333; 1
0.266667; 1
0.275; 1
0.283333; 1
0.291667; 1
0.3; 1
0.308333; 1
0.316667; 1
0.325; 1
0.333333; 1
0.341667; 1
0.35; 1
0.358333; 1
0.366667; 1
0.375; 1
0.383333; 1
0.391667; 1
0.4; 1
0.408333; 1
0.416667; 1
0.425; 1
0.433333; 1
0.441667; 1
0.45; 1
0.458333; 1
0.466667; 1
0.475; 1
0.483333; 1
0.491667; 1
0.5; 1
0.508333; 1
0.516667; 1
0.525; 1
0.533333; 1
0.541667; 1
0.55; 1
0.558333; 1
0.566667; 1
0.575; 1
0.583333; 1
0.591667; 1
0.6; 1
0.608333; 1
0.616667; 1
0.625; 1
0.633333; 1
0.641667; 1
0.65; 1
0.658333; 1
0.666667; 1
0.675; 1
0.683333; 1
0.691667; 1
0.7; 1
0.708333; 1
0.716667; 1
0.725; 1
0.733333; 1
0.741667; 1
0.75; 1
0.758333; 1
0.766667; 1
0.775; 1
0.783333; 1
0.791667; 1
0.8; 1
0.808333; 1
0.816667; 1
0.825; 1
0.833333; 1
0.841667; 1
0.85; 1
0.858333; 1
0.866667; 1
0.875; 1
0.883333; 1
0.891667; 1
0.9; 1
0.908333; 1
0.916667; 1
0.925; 1
0.933333; 1
0.941667; 1
0.95; 1
0.958333; 1
0.966667; 1
0.975; 1
0.983333; 1
0.991667; 1
1; 1
1.00833; 1
1.01667; 1
1.025; 1
1.03333; 1
1.04167; 1
1.05; 1
1.05833; 1
1.06667; 1
1.075; 1
1.08333; 1
1.09167; 1
1.1; 1
1.10833; 1
1.11667; 1
1.125; 1
1.13333; 1
1.14167; 1
1.15; 1
1.15833; 1
1.16667; 1
1.175; 1
1.18333; 1
1.19167; 1
1.2; 1
1.20833; 1
1.21667; 1
1.225; 1
1.23333; 1
1.24167; 1
1.25; 1
1.25833; 1
1.26667; 1
1.275; 1
1.28333; 1
1.29167; 1
1.3; 1
1.30833; 1
1.31667; 1
1.325; 1
1.33333; 1
1.34167; 1
1.35; 1
1.35833; 1
1.36667; 1
1.375; 1
1.38333; 1
1.39167; 1
1.4; 1
1.40833; 1
1.41667; 1
1.425; 1
1.43333; 1
1.44167; 1
1.45; 1
1.45833; 1
1.46667; 1
1.475; 1
1.48333; 1
1.49167; 1
1.5; 1
1.50833; 1
1.51667; 1
1.525; 1
1.53333; 1
1.54167; 1
1.55; 1
1.55833; 1
1.56667; 1
1.575; 1
1.58333; 1
1.59167; 1
1.6; 1
1.60833; 1
1.61667; 1
1.625; 1
1.63333; 1
1.64167; 1
1.65; 1
1.65833; 1
1.66667; 1
1.675; 1
1.68333; 1
1.69167; 1
1.7; 1
1.70833; 1
1.71667; 1
1.725; 1
1.73333; 1
1.74167; 1
1.75; 1
1.75833; 1
1.76667; 1
1.775; 1
1.78333; 1
1.79167; 1
1.8; 1
1.80833; 1
1.81667; 1
1.825; 1
1.83333; 1
1.84167; 1
1.85; 1
1.85833; 1
1.86667; 1
1.875; 1
1.88333; 1
1.89167; 1
1.9; 1
1.90833; 1
1.91667; 1
1.925; 1
1.93333; 1
1.94167; 1
1.95; 1
1.95833; 1
1.96667; 1
1.975; 1
1.98333; 1
1.99167; 1
2; 1
---------------------------------------
Approximate emperature of second layer: 1
Layer PNIPAM passed into  SWOLLEN condition  1
---------------------------------------
